School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,14005,Aberdeen School District,3857,Harbor High School,149,149,0,0,0,0,0,0,0,0,0,0,0,3,16,31,99
2017,WA,14005,Aberdeen School District,3476,J M Weatherwax High School,897,897,0,0,0,0,0,0,0,0,0,0,1,240,226,223,207
2017,WA,21226,Adna School District,2441,Adna Middle/High School,372,372,0,0,0,0,0,0,0,0,36,43,58,52,60,60,63
2017,WA,29103,Anacortes School District,2467,Anacortes High School,767,767,0,0,0,0,0,0,0,0,0,0,0,221,197,168,181
2017,WA,29103,Anacortes School District,5176,Cap Sante High School,67,67,0,0,0,0,0,0,0,0,0,0,0,0,7,15,45
2017,WA,31016,Arlington School District,2523,Arlington High School,"1,637","1,637",0,0,0,0,0,0,0,0,0,0,0,439,423,377,398
2017,WA,31016,Arlington School District,4287,Weston High School,117,117,0,0,0,0,0,0,0,0,0,0,0,9,24,36,48
2017,WA,17408,Auburn School District,5037,Auburn Mountainview High School,"1,515","1,515",0,0,0,0,0,0,0,0,0,0,0,384,369,398,364
2017,WA,17408,Auburn School District,4474,Auburn Riverside High School,"1,639","1,639",0,0,0,0,0,0,0,0,0,0,0,432,381,455,371
2017,WA,17408,Auburn School District,2795,Auburn Senior High School,"1,693","1,693",0,0,0,0,0,0,0,0,0,0,0,434,462,424,373
2017,WA,17408,Auburn School District,2702,West Auburn Senior High School,199,199,0,0,0,0,0,0,0,0,0,0,0,16,27,49,107
2017,WA,18303,Bainbridge Island School District,2395,Bainbridge High School,"1,306","1,306",0,0,0,0,0,0,0,0,0,0,0,339,311,345,311
2017,WA,18303,Bainbridge Island School District,1935,Eagle Harbor High School,113,113,0,0,0,0,0,0,0,0,0,0,0,23,29,24,37
2017,WA,27931,Bates Technical College,5950,Bates Technical High School,270,270,0,0,0,0,0,0,0,0,0,0,0,0,1,31,238
2017,WA,06119,Battle Ground School District,2415,Battle Ground High School,"2,199","2,199",0,0,0,0,0,0,0,0,0,0,0,567,561,531,540
2017,WA,06119,Battle Ground School District,4104,Prairie High School,"1,554","1,554",0,0,0,0,0,0,0,0,0,0,0,393,374,392,395
2017,WA,06119,Battle Ground School District,4450,Summit View High School,349,349,0,0,0,0,0,0,0,0,0,0,0,3,35,83,228
2017,WA,17405,Bellevue School District,2701,Bellevue High School,"1,634","1,634",0,0,0,0,0,0,0,0,0,0,0,413,425,367,429
2017,WA,17405,Bellevue School District,3588,Interlake Senior High School,"1,653","1,653",0,0,0,0,0,0,0,0,0,0,0,414,405,418,416
2017,WA,17405,Bellevue School District,3486,Newport Senior High School,"1,790","1,790",0,0,0,0,0,0,0,0,0,0,0,426,439,514,411
2017,WA,37501,Bellingham School District,2553,Bellingham High School,"1,082","1,082",0,0,0,0,0,0,0,0,0,0,0,286,253,260,283
2017,WA,37501,Bellingham School District,1647,Options High School,104,104,0,0,0,0,0,0,0,0,0,0,0,5,16,25,58
2017,WA,37501,Bellingham School District,3576,Sehome High School,"1,194","1,194",0,0,0,0,0,0,0,0,0,0,0,285,325,266,318
2017,WA,37501,Bellingham School District,4515,Squalicum High School,"1,367","1,367",0,0,0,0,0,0,0,0,0,0,0,312,319,345,391
2017,WA,27403,Bethel School District,2807,Bethel High School,"1,680","1,680",0,0,0,0,0,0,0,0,0,0,0,436,436,441,367
2017,WA,27403,Bethel School District,1510,Challenger High School,262,262,0,0,0,0,0,0,0,0,0,0,0,11,32,48,171
2017,WA,27403,Bethel School District,5033,Graham Kapowsin High School,"1,954","1,954",0,0,0,0,0,0,0,0,0,0,0,504,498,515,437
2017,WA,27403,Bethel School District,4158,Spanaway Lake High School,"1,587","1,587",0,0,0,0,0,0,0,0,0,0,0,407,411,414,355
2017,WA,37503,Blaine School District,3136,Blaine High School,704,704,0,0,0,0,0,0,0,0,0,0,0,190,148,179,187
2017,WA,18100,Bremerton School District,3109,Bremerton High School,"1,222","1,222",0,0,0,0,0,0,0,0,0,0,1,309,298,273,341
2017,WA,18100,Bremerton School District,1737,Renaissance Alternative High School,134,134,0,0,0,0,0,0,0,0,0,0,0,8,15,44,67
